Preis,Wohnfläche,Zimmer,Bezirk,Ausstattungsgrad_gruppe,Beschreibung,Adresse,Preis pro qm in euro,Preis_pro_qm_angepasst,Fairness_Label
610.0,47.0,2.0,Tempelhof-Schöneberg,1,"TAUSCHWOHNUNG 2 Zimmer Wohnung in Tempelhof gegen 1,5 Zimmer Lichtenberg

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 349638)Moderne 2-Zimmer-Wohnung in ruhiger Lage in Tempelhof-SchönebergDiese frisch renovierte 2-Zimmer-Wohnung im Erdgeschoss bietet auf 48 Quadratmetern ein gemütliches Zuhause. Die Wohnung liegt in einer sehr ruhigen Gegend mit viel Grün, ideal für Naturliebhaber. Direkt vor der Tür befindet sich die Bushaltestelle mit den Linien N81 und 179, was eine hervorragende Anbindung an den öffentlichen Nahverkehr gewährleistet. Zudem stehen den Bewohnern kostenlose Parkplätze zur Verfügung.Für den täglichen Bedarf sind ein Lidl, Aldi, Netto und Edeka in der Nähe, sodass Sie alles bequem erreichen können.Ein Tennisplatz ist nur 500 Meter entfernt, ebenso ist der Britzer Garten auch hier, ideal für Sportbegeisterte.Perfekt für alle, die eine ruhige und dennoch zentral gelegene Wohnung suchen!WAS ICH SUCHE:Ich suche eine 1- bis 1,5-Zimmer Wohnung in Lichtenberg, idealerweise in der Nähe vom Tierpark. Die Wohnung kann sowohl im Altbau als auch im Hochhaus liegen Kaltmiete maximal 450€.","Mariendorf,Berlin(12107)",12.97872340425532,12.97872340425532,Fair
2050.0,111.0,4.0,Spandau,2,"Halske Gärten - Moderne, lichtdurchflutete Wohnungen im Grünen

Willkommen in den Halske Gärten in Berlin-Siemensstadt! Dieses Neubauprojekt bietet mit insgesamt sieben Bauabschnitten und ca. 958 Wohneinheiten, 8 Gewerbeeinheiten und sowie einer Kita neuen Wohnraum im aufstrebenden Berliner Bezirk Spandau. Das familienfreundliche Quartier besteht aus vier- bis siebengeschossigen Gebäuden, welche zusammen jeweils eigene, schön begrünte Innenhöfe mit Spiel- und Grünflächen bilden. Die hier zur Vermietung angebotene Wohnung bietet eine Wohnfläche von ca. 110 Quadratmetern und vier Zimmer. Die Wohnung befindet sich im Erdgeschoss und bietet moderne Neubauqualität mit hochwertiger Ausstattung. Zudem bietet die Wohnung eine vollausgestattete Einbauküche mit sämtlichen elektrischen Küchengeräten. In der Wohnung befindet sich Design-PVC-Boden und im gesamten Wohn-, Schlafbereich sowie in den Badezimmern befindet sich Fußbodenheizung. Die Badezimmer bieten eine hochwertige Sanitärausstattung von Hans Grohe und Geberit und sind mit edlen grauen und weißen Feinsteinzeugfliesen versehen. Zur weiteren Ausstattung der Wohnung gehört eine Videogegensprechanlage, doppelt-verglaste, teilweise bodentiefe Fenster und ein Hauswirtschaftsraum mit Waschmaschinenanschlüssen. Die Erdgeschosswohnungen verfügen über eine großzügige Terrasse und zu den Wohnungen in den Geschossen eins bis sieben gehören jeweils Balkone. Im Gebäude befindet sich zudem ein Aufzug, welcher bequemen Zugang zu den Wohnungen bietet und es besteht auch die Möglichkeit zur Anmietung von Tiefgaragenstellplätzen sowie Außenstellplätzen.Ausstattung:.Erstbezug.Fußbodenheizung.Design-PVC-Boden in Wohn-, Ess- und Schlafbereichen, Flur, Diele.Vollausgestattete Einbauküche.Stilvolle Badezimmer mit weißen Marken-Sanitärobjekte (wandhän-gendes Tiefspül-WC, Waschtisch, verchromte Armaturen).Fenster mit Isolierverglasung, Rollläden (EG) bzw. Son-nenschutzverglasung.Wände mit Malervliestapete, hellgetönt.Telefon, Internet und Fernsehen aus einer Hand überGeneralanbieter.Glasfasernetzanbindung.Unterflurmüllsystem.Terrasse und privater Gartenbereich.Video-Gegensprechanlage.Kellerraum.Aufzug in alle Etagen.Kindertagesstätte und Kinderspielplatz.Fahrradabstellplätze.Schön gestaltete Gemeinschafts-Außenbereiche für ein entspanntesMiteinander.TG-Stellplätze und Außenstellplätze auf Anfrage anmietbar s.o.","Elsa-Neumann-Straße 53,Siemensstadt,Berlin(13629)",18.46846846846847,16.78951678951679,Günstig
1600.0,62.0,2.0,Mitte,1,"Rückzugsort in Mitte: Esplanade Residence

Die Esplanade Residence verbindet stilvolles Ambiente mit urbaner Eleganz - mitten im Herzen der Metropole und dennoch angenehm zurückgezogen. Das Interieur der Wohnungen besticht durch eine harmonische Kombination aus Klarheit, Raffinesse und zeitloser Ästhetik. Großzügige Transparenzen, eindrucksvolle Durchblicke und faszinierende Perspektiven schaffen ein besonderes Raumgefühl, das Licht und Weite eindrucksvoll in Szene setzt. Hochwertige Ausstattungsdetails vereinen Funktionalität mit stilvoller Formgebung. Die hier angebotene Mietwohnung verfügt über eine durchdachte Raumaufteilung auf rund 62 Quadratmetern Wohnfläche und zwei Zimmern. Der offene Wohnbereich beeindruckt durch bodentiefe Fenster, hohe Decken und ein angenehmes Raumgefühl. Edles Ahornparkett verleiht dem Wohn- und Schlafbereich eine warme, elegante Atmosphäre, während in Küche und Bad hochwertiger Naturstein verlegt ist. Eine Fußbodenheizung sorgt in der gesamten Wohnung für zusätzlichen Komfort. Die moderne Einbauküche ist vollständig ausgestattet und lässt keine Wünsche offen. Das Badezimmer verfügt über eine Badewanne und befindet sich gegenüber dem Schlafzimmer, das mit einem großzügigen Einbauschrank ausgestattet ist. Zur weiteren Ausstattung zählen eine Klimaanlage sowie zusätzliche Einbauschränke, die für praktischen Stauraum sorgen. Im Gebäude steht Ihnen ein 24-Stunden-Sicherheits- und Concierge-Service zur Verfügung. Ein Kellerraum gehört zur Wohnung und rundet das Angebot ab.Ausstattung:.Hochwertiger Ahornparkettboden.Natursteinboden in Küche und Badezimmer.Fußbodenheizung.Bodentiefe Fensterflächen.Hohe Decken.Bulthaup-Einbauküche mit sämtlichen elektrischen Geräten von Siemens.Vollbad.Einbauschränke.Klimaanlage.High Speed-Internet mit einer Geschwindigkeit von 2GB/s.24h Sicherheits- und Concierge-Service.Kellerraum.Aufzug","Bellevuestraße 1,Tiergarten,Berlin(10785)",25.806451612903224,25.806451612903224,Fair
880.0,80.0,3.0,Charlottenburg-Wilmersdorf,1,"TAUSCHWOHNUNG Biete Dreizimmerwohnung und suche Zweizimmerwohnung

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 26143)Hallo! Ich suche zum Wohnungstausch eine Zweizimmerwohnung in Berlin. Dafür biete ich eine Wohnung in 14193 Berlin Schmargendorf.Die Wohnung liegt in einer kleinen Nebenstraße mit Tempo 30. Das Haus ist Baujahr 1988, wobei Teile der Wohnung bereits saniert wurden. Die moderne Einbauküche wurde durch mich installiert und kann gegen Abstand übernommen werden. Unten im Haus befindet sich ein kleiner Edeka.Ich suche im Tausch eine Zweizimmerwohnung in Wilmersdorf, Dahlem, Grunewald oder bestimmten Vierteln in Schöneberg.","Schmargendorf,Berlin(14193)",11.0,11.0,Günstig
1750.0,64.0,2.0,Tempelhof-Schöneberg,1,"Exklusive Stadtwohnung mit Blick auf die Apostelkirche

Diese hochwertig ausgestattete 2-Zimmer-Wohnung im 2. Obergeschoss eines modernen Mehrparteienhauses überzeugt durch stilvolles Design, lichtdurchflutete Räume und eine begehrte Lage. Auf ca. 64 m² Wohnfläche erwartet Sie ein durchdachtes Raumkonzept mit zeitloser Eleganz und hohem Wohnkomfort. Der großzügige Wohn- und Essbereich ist mit edlem Eichenparkett ausgestattet und bietet dank bodentiefer Fenster ein offenes, helles Ambiente. Elektrische Außenjalousien sorgen für optimalen Sicht- und Sonnenschutz. Die Deckenhöhe von ca. 2,85 m verleiht der Wohnung ein besonderes Raumgefühl. Ein weiteres Highlight ist die vollausgestattete Einbauküche mit modernen Bosch-Geräten, die sich harmonisch in das Gesamtbild einfügt. Das stilvolle Wannenbad überzeugt mit hochwertiger Fliesenauswahl sowie einem praktischen Waschmaschinenanschluss. Die sonnige Loggia mit Ost-Ausrichtung lädt zu entspannten Stunden mit Blick auf die historische Apostelkirche ein - ein Ort zum Wohlfühlen mitten in der Stadt. Komfort wird hier großgeschrieben: Die Fußbodenheizung sorgt für angenehme Wärme, ein Aufzug bringt Sie bequem in Ihre Etage, und ein eigenes Kellerabteil bietet zusätzlichen Stauraum. Ein optionaler Stellplatz kann für monatlich 120 EUR angemietet werden. Abgerundet wird das Angebot durch eine moderne Videogegensprechanlage, die zusätzliche Sicherheit und Komfort gewährleistet.Ausstattung:. Hochwertiges Eichenparkett. Großzügige Fenster. Elektrische Außenjalousien. Deckenhöhe ca. 2,85 Meter. Vollausgestattete Einbauküche mit Bosch - Geräten. Wannenbad mit stilvoller Fliesenauswahl undWaschmaschinenanschluss. Loggia mit Ost-Ausrichtung und Blickzur Apostelkirche. Fußbodenheizung. Aufzug. Kellerabteil. Stellplatz optional für mtl. 120 EUR. Videogegensprechanlage","Else-Lasker-Schüler-Straße 4,Schöneberg,Berlin(10783)",27.34375,27.34375,Zu teuer
661.0,61.0,2.0,Reinickendorf,0,"Wohnungsswap - Myrtenweg

Guten Tag, ich würde gerne meine 2 Zimmerwohnung gegen eine 4 Zimmerwohnung tauschen. Meine Wohung liegt im ruhigen Tegel, es gibt viele Einkaufsmöglichkeiten und gute BVG Verbindung.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Tegel,Berlin(13509)",10.836065573770492,12.04007285974499,Fair
700.0,67.0,2.0,Charlottenburg-Wilmersdorf,0,"TAUSCHWOHNUNG 2 Zimmer Altbau mit Balkon Nähe Park

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 49813)Hallo,Wir Wohnen am Bayrischen Platz in der Nähe vom Volkspark Schöneberg-Wilmersdorf. Unsere Wohnung liegt im 4.OG im HH und ist insgesamt 67qm groß.Wir würden gerne in eine größer Wohnung ziehe. 3-4 Zimmer Mund 90qm. Am Liebestrank in den Bergmannkiez oder Schöneberg. Falls ihr Interesse an einem Tausch habt, schreibt gerne.","Wilmersdorf,Berlin(10777)",10.447761194029852,11.608623548922058,Günstig
450.0,49.0,1.0,Friedrichshain-Kreuzberg,0,"Wohnungsswap - Lobeckstraße

Ich biete hier meine  1,5 Zimmer Wohnung in Kreuzberg an. Die Wohnung liegt im 12. OG eines Mehrfamilienhauses und bietet vom Balkon aus einen Blick über West Berlin.Die Wohnung hat einen warmen Holzboden von mir bekommen. Dieser sollte vom Nachmieter auch übernommen werden idealerweise ( ca. 1000€).Des weiteren habe ich die Küche selbst gebaut und auch hier besteht die Möglichkeit diese zu übernehmen. Die Küchengeräte (Kühlschrank, Waschmaschine) wurden vor 1 Jahr brandneu im Mediamarkt gekauft und sind sehr Energieeffizienzt ( Belege vorhanden) , weshalb die Ablöse für die Küche auch ca. 1000€ beträgt.Küche muss aber nicht zwingend übernommen werden.Die Wohnung liegt nahe zum Landwehrkanal (10min zu Fuß), Berlin Mitte ist auch nicht weit, der Checkpoint Charlie ist fussläufig 15 Minuten entfernt.Die nächsten Bahnstationen sind U Moritzplatz und U Prinzenstraße.Außerdem gibt es Autostellplätze für die Anwohner vor dem Haus die nicht kostenpflichtig sind.Ich suche eine 1 bis 2 Zimmer Wohnung mit Dachterasse/Terasse/großem Balkon mit einer schönen Aussicht.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Kreuzberg,Berlin(10969)",9.183673469387756,10.204081632653063,Günstig
266.0,41.0,1.0,Friedrichshain-Kreuzberg,1,"TAUSCHWOHNUNG Schönes Zuhause auf der Halbinsel Stralau bei Ostkreuz

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 350864)Dieses schöne WBS Apartment (HOWOGE) liegt 30 Sekunden vom Wasser entfernt auf der Halbinsel Stralau. Sie hat 1 Zimmer, 1 Flur, 1 Küche (mit EBK, die eingerichtet werden kann), 1 WC mit Dusche, 1 Loggia/Balkon.Es ist wirklich ein wunderbarer Ort zum Leben. Sie liegt nicht nur mitten in der Natur, sondern auch in der Nähe des wunderschönen Treptower Park und nur 6 Gehminuten vom Bahnhof Ostkreuz entfernt. Der einzige Grund, warum wir sie abgeben wollen, ist, eine größere Wohnung (3 Zimmer oder mehr) zu finden.","Friedrichshain,Berlin(10245)",6.487804878048781,6.487804878048781,Scam-Verdacht
456.0,50.0,1.0,Friedrichshain-Kreuzberg,1,"TAUSCHWOHNUNG Ruhige 50 qm Altbau Wohnung im Herzen Kreuzbergs

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 38342)Ich brauche einen Tapetenwechsel und verlasse meine geliebte 50 qm Ein Zimmer Wohnung mitten in Kreuzberg. Sie ist super ruhig im Hinterhof, besteht aus einem großen Zimmer, einer großen Küche, in der man schön mit mehreren Leuten sitzen kann, einem geräumigen Bad mit Badewanne und einem großen Flur. Die Nachbarschaft im Haus ist super freundlich, es gibt auch einen kleinen Garten, in dem manchmal Filmabende gemacht werden oder man einfach sitzen kann. Auch die Hausverwaltung ist super zuverlässig und freundlich. Für die Lage ist die Wohnung unglaublich günstig.Ich möchte einfach gerne umziehen, ich war sehr lange in dieser Wohnung, suche größer, kleiner, egal.","Kreuzberg,Berlin(10997)",9.12,9.12,Günstig
